,root,model,Season_RA,D,Season_Period,AR,Season_MA,MA,Season_D,test_aic,test_bic,test_rmse,train_bic,train_aic,train_hqic,test_hqic,train_rmse
122,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_3_D_1_Season_Period_0_AR_0_Season_MA_3_Season_D_1_MA_4,3,1,0,0,3,4,1,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
123,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_6_D_0_Season_Period_12_AR_5_Season_MA_4_Season_D_0_MA_4,6,0,12,5,4,4,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
124,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_3_D_1_Season_Period_0_AR_0_Season_MA_4_Season_D_0_MA_6,3,1,0,0,4,6,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
125,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_6_D_0_Season_Period_12_AR_0_Season_MA_0_Season_D_0_MA_0,6,0,12,0,0,0,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
126,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_6_D_0_Season_Period_0_AR_5_Season_MA_6_Season_D_0_MA_0,6,0,0,5,6,0,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
127,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_6_D_0_Season_Period_6_AR_5_Season_MA_3_Season_D_0_MA_3,6,0,6,5,3,3,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
128,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_3_D_1_Season_Period_0_AR_1_Season_MA_2_Season_D_1_MA_6,3,1,0,1,2,6,1,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
129,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_5_D_1_Season_Period_0_AR_4_Season_MA_1_Season_D_1_MA_2,5,1,0,4,1,2,1,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
130,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_5_D_1_Season_Period_0_AR_4_Season_MA_4_Season_D_1_MA_4,5,1,0,4,4,4,1,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
131,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_4_D_1_Season_Period_0_AR_6_Season_MA_2_Season_D_1_MA_1,4,1,0,6,2,1,1,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
132,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_4_D_1_Season_Period_12_AR_5_Season_MA_3_Season_D_0_MA_3,4,1,12,5,3,3,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
133,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_4_D_1_Season_Period_0_AR_3_Season_MA_3_Season_D_0_MA_3,4,1,0,3,3,3,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
134,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_4_D_1_Season_Period_0_AR_0_Season_MA_3_Season_D_0_MA_0,4,1,0,0,3,0,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
135,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_4_D_1_Season_Period_0_AR_0_Season_MA_1_Season_D_1_MA_2,4,1,0,0,1,2,1,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
136,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_4_D_0_Season_Period_6_AR_6_Season_MA_1_Season_D_0_MA_3,4,0,6,6,1,3,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
